"","first.first","first.middle","first.last","middle.first","middle.middle","middle.last","last.first","last.middle","last.last","size","band","first.start","second.start","last.start","last.second","maxDyLowerEst"
"1",0,NA,NA,NA,NA,NA,NA,NA,0,12.3495145631068,NA,NA,NA,NA,NA,NA
"2",0,0.0925983186995757,0.114940805298978,0.0925983186995757,0.0349604955026534,0.110865446894184,0.114940805298978,0.110865446894184,0,8,"1A","X:251368-251695","X:253942-254287","X:251807-252130","X:253584-253941",0.075904951391531
"3",0,0.0772131423388547,0.0841013810192886,0.0772131423388547,NA,0.0799411192946037,0.0841013810192886,0.0799411192946037,0,12,"1A","X:258544-258871","X:262104-262462","X:258874-259229","X:261743-262103",NA
"4",0,0.0390117043836158,0.0656803392852059,0.0390117043836158,0.00496291960096227,0.0794142687767597,0.0656803392852059,0.0794142687767597,0,6,"1A","X:264652-265002","X:266181-266539","X:265029-265106","X:265823-266180",0.0744513491757974
"5",0,0.0699014387351716,0.184155550971268,0.0699014387351716,0.0813871554413563,0.191598404068652,0.184155550971268,0.191598404068652,0,9,"1A","X:270220-270549","X:273184-273439","X:270550-270907","X:272697-273079",0.110211248627296
"6",0,NA,NA,NA,0.280683062703832,0.247558832613409,NA,0.247558832613409,0,5,"2B","X:1525366-1525553","X:1526293-1526394","X:1525557-1525902","X:1526217-1526293",0.033124230090423
"7",0,0.0235365196585112,0.0458103090238953,0.0235365196585112,0.0267593637337277,0.0501589084304046,0.0458103090238953,0.0501589084304046,0,9,"2E","X:2175673-2175965","X:2178718-2179047","X:2175976-2176323","X:2178122-2178297",0.0233995446966769
"8",0,0.262280902087198,0.37327431722813,0.262280902087198,0.0559442518041795,0.0486044805718841,0.37327431722813,0.0486044805718841,0,4,"4B","X:4158083-4158196","X:4158957-4159212","X:4158216-4158554","X:4158598-4158951",0.206336650283019
"9",0,0.180802337627256,NA,0.180802337627256,0.00901314095225106,0.282042446525969,NA,0.282042446525969,0,4,"4C","X:4539552-4539664","X:4540407-4540559","X:4539689-4540023","X:4540048-4540382",0.273029305573718
"10",0,0.0325035397716139,0.0319704785863771,0.0325035397716139,0.0422078663741913,0.025503238205257,0.0319704785863771,0.025503238205257,0,7,"4C","X:4584439-4584502","X:4586425-4586488","X:4584770-4584833","X:4586094-4586157",0.0167046281689343
"11",0,NA,NA,NA,NA,NA,NA,NA,0,6,"4C","X:4644547-4644722","X:4645645-4645805","X:4644736-4645079","X:4645579-4645630",NA
"12",0,NA,0.122377629718307,NA,NA,NA,0.122377629718307,NA,0,11,"4C","X:4684258-4684359","X:4685585-4685699","X:4684400-4684451","X:4685523-4685574",NA
"13",0,0.551857414701471,0.537104104715108,0.551857414701471,0.166565173883448,0.164002108246062,0.537104104715108,0.164002108246062,0,4,"4F","X:5255488-5255634","X:5256406-5256757","X:5255652-5256008","X:5256009-5256367",0.385292240818023
"14",0,0.378544939157727,0.362237332902238,0.378544939157727,0.044998034581882,0.0522252806435248,0.362237332902238,0.0522252806435248,0,4,"4F","X:5292933-5293087","X:5293791-5294149","X:5293083-5293431","X:5293432-5293790",0.333546904575845
"15",0,0.0118757315582707,0.116465857179149,0.0118757315582707,0.0181022647890043,0.113874696689005,0.116465857179149,0.113874696689005,0,28,"4F","X:5311891-5312139","X:5323020-5323168","X:5312464-5312824","X:5322652-5323010",0.095772431900001
"16",0,0.0423620089811606,0.0939490798801127,0.0423620089811606,0.0190178924589533,0.111272364801054,0.0939490798801127,0.111272364801054,0,5,"4F","X:5374833-5375191","X:5376269-5376393","X:5375194-5375550","X:5375912-5376268",0.0922544723421011
"17",0,0.0464913992785283,0.554282761000741,0.0464913992785283,0.0772796725059092,0.544440166491317,0.554282761000741,0.544440166491317,0,4,"5A","X:5567675-5568034","X:5568768-5568876","X:5568035-5568394","X:5568395-5568749",0.467160493985408
"18",0,0.214069744992274,0.35937484002367,0.214069744992274,0.0598414547670248,0.0585248044068189,0.35937484002367,0.0585248044068189,0,5,"5C","X:5770234-5770400","X:5771510-5771743","X:5770429-5770761","X:5771151-5771481",0.15422829022525
"19",0,0.200618065605174,NA,0.200618065605174,0.0633375796605881,0.482433181507575,NA,0.482433181507575,0,6,"5C","X:5784563-5784739","X:5786189-5786296","X:5784766-5785096","X:5785845-5786175",0.419095601846987
"20",0,0.394453839314972,0.23518097840902,0.394453839314972,0.0209509815001729,0.228182019152781,0.23518097840902,0.228182019152781,0,15,"5C","X:5815310-5815434","X:5819954-5820131","X:5815437-5815769","X:5819593-5819914",0.3735028578148
"21",0,0.346488165830941,0.424122955497344,0.346488165830941,0.0294052902566476,0.0829511791433851,0.424122955497344,0.0829511791433851,0,4,"5D","X:6131554-6131748","X:6132423-6132782","X:6131817-6132059","X:6132062-6132422",0.317082875574293
"22",0,0.0375315838700361,0.671918159190976,0.0375315838700361,0.0640450877840011,0.714724336880503,0.671918159190976,0.714724336880503,0,4,"6C","X:6638462-6638585","X:6638977-6639054","X:6638660-6638783","X:6638827-6638956",0.650679249096502
"23",0,0.0337856781968464,0.106027967313222,0.0337856781968464,0.0463537717485833,0.0721387134800918,0.106027967313222,0.0721387134800918,0,4,"6C","X:6656102-6656268","X:6657025-6657301","X:6656314-6656625","X:6656668-6656979",0.0257849417315085
"24",0,NA,0.115708101514343,NA,NA,0.0340860455013074,0.115708101514343,0.0340860455013074,0,62,"6C","X:6692565-6692694","X:6713832-6714109","X:6692739-6693049","X:6713482-6713787",NA
"25",0,0.0614270602760052,NA,0.0614270602760052,0.0198777942863057,0.257871842875382,NA,0.257871842875382,0,8,"6C","X:6737256-6737406","X:6739613-6739753","X:6737459-6737773","X:6739255-6739568",0.237994048589076
