"","first.first","first.middle","first.last","middle.first","middle.middle","middle.last","last.first","last.middle","last.last","size","band","first.start","second.start","last.start","last.second","maxDyLowerEst"
"1",0,NA,NA,NA,NA,NA,NA,NA,0,36.8909090909091,NA,NA,NA,NA,NA,NA
"2",0,NA,0.107872278849426,NA,NA,0.0814225329966061,0.107872278849426,0.0814225329966061,0,147,"1A","X:171430-171634","X:227016-227276","X:171635-171991","X:226637-226982",NA
"3",0,0.095419233142544,0.103911718254414,0.095419233142544,0.0357947124600819,0.0374015070945559,0.103911718254414,0.0374015070945559,0,17,"3E","X:3635568-3635775","X:3641877-3642236","X:3635778-3636133","X:3641514-3641869",0.0596245206824621
"4",0,0.0289006894437725,0.0255224845166728,0.0289006894437725,0.0364445382026281,0.0366683285147941,0.0255224845166728,0.0366683285147941,0,37,"4F","X:5260618-5260976","X:5274614-5274973","X:5260980-5261336","X:5274344-5274451",0.0075438487588556
"5",0,0.129129488576345,NA,0.129129488576345,0.123099149780515,0.422971717368147,NA,0.422971717368147,0,5,"5B","X:5722831-5722959","X:5724039-5724148","X:5722986-5723315","X:5723696-5724027",0.299872567587633
"6",0,0.368707992841353,NA,0.368707992841353,0.0438754392943471,0.0565622452312186,NA,0.0565622452312186,0,4,"5B","X:5753102-5753225","X:5753944-5754074","X:5753224-5753557","X:5753586-5753917",0.324832553547006
"7",0,0.024582330187096,0.602164932748409,0.024582330187096,0.0280658185344431,0.610838394062538,0.602164932748409,0.610838394062538,0,7,"6B","X:6581375-6581498","X:6582435-6582528","X:6581523-6581628","X:6582308-6582431",0.582772575528095
"8",0,0.0408800620781529,NA,0.0408800620781529,0.0107702065627415,0.0424720841758687,NA,0.0424720841758687,0,5,"6C","X:6609248-6609398","X:6610543-6610639","X:6609455-6609767","X:6610171-6610483",0.0317018776131272
"9",0,0.0128267074317267,0.0633248138455295,0.0128267074317267,0.0126418032302506,0.0577085944627796,0.0633248138455295,0.0577085944627796,0,52,"6C","X:6640906-6641035","X:6658853-6659134","X:6641080-6641393","X:6658496-6658808",0.045066791232529
"10",0,0.0468756236533463,NA,0.0468756236533463,0.042409442551041,0.321558902281701,NA,0.321558902281701,0,4,"6C","X:6682028-6682185","X:6682907-6683046","X:6682230-6682542","X:6682588-6682757",0.27914945973066
