"","first.first","first.middle","first.last","middle.first","middle.middle","middle.last","last.first","last.middle","last.last","size","band","first.start","second.start","last.start","last.second","maxDyLowerEst"
"1",0,NA,NA,NA,NA,NA,NA,NA,0,6.8,NA,NA,NA,NA,NA,NA
"2",0,0.0175786641244416,0.104218674398872,0.0175786641244416,0.0287026849864078,0.0783333344302495,0.104218674398872,0.0783333344302495,0,4,"1A","X:118185-118536","X:119602-119961","X:118849-119199","X:119239-119601",0.0496306494438418
"3",0,0.592652329994623,0.680835110508328,0.592652329994623,0.0452346898143127,0.108731027978175,0.680835110508328,0.108731027978175,0,5,"1A","X:153081-153276","X:154651-154817","X:153576-153903","X:154296-154648",0.547417640180311
"4",0,NA,NA,NA,0.273975548166782,0.250912263057617,NA,0.250912263057617,0,5,"2A","X:1372846-1373027","X:1373767-1373868","X:1373031-1373376","X:1373691-1373767",0.0230632851091643
"5",0,0.344007668765235,NA,0.344007668765235,0.12517995124982,0.453513238549223,NA,0.453513238549223,0,4,"4B","X:4195988-4196174","X:4196876-4196995","X:4196194-4196535","X:4196555-4196885",0.328333287299403
"6",0,0.461692167108663,0.484890970970659,0.461692167108663,0.21789808860789,0.120742422853893,0.484890970970659,0.120742422853893,0,4,"4F","X:5134266-5134431","X:5135153-5135512","X:5134437-5134793","X:5134794-5135152",0.243794078500773
"7",0,0.235109726698491,0.362486574140032,0.235109726698491,0.0631680628368074,0.121154095865489,0.362486574140032,0.121154095865489,0,4,"5A","X:5640692-5640919","X:5641644-5641895","X:5640924-5641263","X:5641284-5641615",0.171941663861684
"8",0,0.0542638907647167,0.789766027946605,0.0542638907647167,0.0134965035358922,0.690044661787368,0.789766027946605,0.690044661787368,0,7,"6A","X:6503707-6503830","X:6504824-6504917","X:6503874-6503998","X:6504666-6504790",0.676548158251475
"9",0,0.0946331952220943,NA,0.0946331952220943,0.0009119501737609,0.14683706590104,NA,0.14683706590104,0,9,"6B","X:6574975-6575111","X:6577670-6577782","X:6575164-6575477","X:6577312-6577625",0.145925115727279
"10",0,0.337502583299252,NA,0.337502583299252,0.220897727548946,0.621064280483356,NA,0.621064280483356,0,4,"6C","X:6727763-6727889","X:6728646-6728806","X:6727933-6728246","X:6728291-6728602",0.40016655293441
"11",0,NA,NA,NA,0.0448725142326856,0.328087910198081,NA,0.328087910198081,0,4,"6D","X:6844002-6844088","X:6844671-6844770","X:6844134-6844446","X:6844491-6844605",0.283215395965396
